DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P6016,P6020,P6030S1,P6030S3,P6040,P6050,P6080,P6080S1,P6070,P6081,P6081S1,P6083,P6083S1,P6071,P6071S1,P3147S1,P3147S2,P3147S3,P3147S4,P3147S5,P3147S6,P3147S7,P3147S8,P3147S9,P3147S10,P3147S11,P3147S10A1,P3246,P6090,P6140,P6150,P6100,P6110,P6120,P6125,P6160,P6170,P6175,P6210,P6210S1,P6220,P6269,AREA,ESC,MES,DPTO,fex_c_2011
5332795,1,4,1,10,4,2,1,1994,26,3,6,,6,2,,1,1,,,,,,,,,1,,,,,,,1,,,3,,,2,1,2,,5,11,2,,50,11,01,50,243.10186494
5332795,1,5,1,10,4,2,1,2015,5,4,6,,,2,,1,4,,,,,,,,,,,,,,,,1,,,3,,,2,2,1,1,3,0,,,50,0,01,50,243.10186494
5332795,1,6,1,10,4,1,11,2016,4,4,6,,,2,,1,4,,,,,,,,,,,,,,,,1,,,3,,,2,2,2,,1,0,,,50,0,01,50,243.10186494
5332796,1,1,1,10,1,1,10,1994,26,1,6,,2,2,,1,4,1,2,,,,,,,,,,,1,,1,2,1,2,,,,2,1,2,,5,11,2,,50,11,01,50,410.4222576
5332796,1,2,1,10,2,2,6,1998,22,2,6,,2,2,,2,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,5,11,2,,50,11,01,50,410.4222576
5332796,1,3,1,10,2,1,5,2018,2,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,,,,,,,,50,,01,50,410.4222576
5332796,1,4,1,10,4,2,1,1976,45,5,6,,4,2,,2,,,,,,,,,,1,,,,,,,1,,,3,,,2,1,2,,3,2,,,50,2,01,50,410.4222576
5332796,1,5,1,10,4,1,10,2011,9,5,6,,,2,,1,4,,,,,,,,,,,,,,,,1,,,3,,,2,1,1,1,3,3,,,50,3,01,50,410.4222576
5332797,1,1,1,10,1,1,12,1993,27,1,6,,2,2,,2,,1,2,,,,,,,,,,,1,,2,1,,,1,1,44000,2,1,2,,5,11,2,,50,11,01,50,367.37170148
5332797,1,2,1,10,2,2,12,1994,26,2,6,,2,2,,2,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,6,3,3,,50,14,01,50,367.37170148
5332797,1,3,1,10,2,1,6,2015,5,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,2,2,,1,0,,,50,0,01,50,367.37170148
5332798,1,1,1,10,1,1,10,1991,29,1,6,,2,2,,2,,1,2,,,,,,,1,,,,,,1,1,,,3,,,2,1,2,,4,9,,,50,9,01,50,388.30782845
5332798,1,2,1,10,2,2,7,1994,26,2,6,,2,3,,3,,1,1,,,,,,,1,,,,,,,1,,,3,,,2,1,2,,6,2,3,,50,13,01,50,388.30782845
5332798,1,3,1,10,2,1,9,2011,9,3,6,,,2,,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,1,1,1,3,2,,,50,2,01,50,388.30782845
5332798,1,4,1,10,2,2,6,2017,3,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,2,2,,1,0,,,50,0,01,50,388.30782845
5332799,1,1,1,10,1,2,5,1961,59,1,6,,4,3,,2,,,,,1,,,1,,,,,,,,1,1,,,3,,,2,1,2,,5,11,2,,50,11,01,50,208.0722409
5332800,1,1,1,10,1,1,12,1950,70,1,6,,4,3,,3,,,,,,,1,,,,,,,,,1,1,,,3,,,2,2,2,,1,0,,,50,0,01,50,272.79623672
5332801,1,1,1,10,1,1,11,1962,58,1,6,,3,3,,3,,1,2,,,,,,,,,,,1,,1,1,,,3,,,2,1,2,,3,5,,,50,5,01,50,190.17712813
5332801,1,2,1,10,2,2,12,1965,55,2,6,,3,3,,3,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,5,11,2,,50,11,01,50,190.17712813
5332802,1,1,1,10,1,2,4,1997,23,1,6,,2,2,,2,,1,2,,,,,,,,,,,1,,1,1,,,1,1,33000,2,1,2,,5,11,2,,50,11,01,50,389.45800684
5332802,1,2,1,10,2,1,9,1990,30,2,6,,2,2,,2,,1,1,,,,,,,,,,,1,,,1,,,1,1,33000,2,1,2,,5,11,2,,50,11,01,50,389.45800684
5332802,1,3,1,10,1,2,4,2013,7,3,6,,,2,,1,1,,,,,,,,,,,,,,,,1,,,3,,,2,1,1,1,3,2,,,50,2,01,50,389.45800684
5332802,1,4,1,10,1,1,11,2014,6,3,6,,,1,2,1,1,,,,,,,,,,,,,,,,1,,,3,,,2,1,1,1,3,0,,,50,0,01,50,389.45800684
5332803,1,1,1,10,1,2,5,1953,67,1,6,,5,3,,3,,,,,,,1,,,,,,,,,2,1,,,3,,,2,2,2,,1,0,,,50,0,01,50,277.63218942
5332803,1,2,1,10,2,1,4,1991,29,3,6,,4,3,,1,1,,,,,,1,,,,,,,,,,1,,,3,,,2,1,2,,4,8,,,50,8,01,50,277.63218942
5332803,1,3,1,10,3,1,12,1992,28,3,6,,4,3,,1,1,,,,,,1,,,,,,,,,,1,,,3,,,2,1,2,,4,8,,,50,8,01,50,277.63218942
5332804,1,1,1,10,1,2,6,1959,61,1,6,,4,3,,3,,,,,,,1,,,,,,,,,2,1,,,1,5,,2,1,2,,3,5,,,50,5,01,50,186.90755955
5332804,1,2,1,10,1,1,5,2003,17,3,6,,6,2,,1,1,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,4,8,,,50,8,01,50,186.90755955
5332805,1,1,1,10,1,2,9,1981,39,1,6,,2,3,,2,,1,2,,,,1,,,,,,,,,2,1,,,3,,,2,1,2,,3,5,,,50,5,01,50,292.17242218
5332805,1,2,1,10,2,1,12,1977,43,2,6,,2,2,,2,,1,1,,,,1,,,,,,,,,,1,,,3,,,2,1,2,,5,11,2,,50,11,01,50,292.17242218
5332805,1,3,1,10,3,2,6,1999,21,3,6,,6,1,2,1,1,,,,,,1,,,,,,,,,,1,,,1,1,44000,2,1,1,1,6,2,2,2,50,13,01,50,292.17242218
5332805,1,4,1,10,1,1,12,2006,14,3,6,,6,1,2,1,1,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,4,8,,,50,8,01,50,292.17242218
5332806,1,1,1,10,1,1,5,1939,81,1,6,,5,3,,3,,,,,,1,1,,,,,,,,,2,1,,,3,,,2,1,2,,3,5,,,50,5,01,50,307.57621098
5332806,1,2,1,10,2,1,6,1975,45,3,6,,6,1,1,3,,,,,,,1,,,,,,,,,,1,,,3,,,2,1,2,,3,5,,,50,5,01,50,307.57621098
5332807,1,1,1,10,1,1,2,1971,49,1,6,,4,3,,3,,,,,1,1,1,,,1,,,,,,1,2,1,48,,,,1,2,2,,1,0,,,50,0,01,50,367.37170148
5332807,1,2,1,10,2,2,8,1995,25,3,6,,2,1,1,2,,2,,,1,1,,,,,,,,,,,1,,,3,,,2,1,2,,6,2,3,,50,13,01,50,367.37170148
5332807,1,3,1,10,2,1,2,2017,3,4,6,,,2,,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,2,2,,1,0,,,50,0,01,50,367.37170148
5332808,1,1,1,10,1,1,8,1967,53,1,6,,2,2,,3,,1,2,,1,1,1,,,,,,,,,1,1,,,3,,,2,1,2,,3,3,,,50,3,01,50,318.82912445
5332808,1,2,1,10,2,2,5,1975,45,2,6,,2,2,,2,,1,1,,1,1,1,,,1,,,,,,,1,,,3,,,2,1,2,,4,7,,,50,7,01,50,318.82912445
5332809,1,1,1,10,1,1,11,1986,34,1,6,,3,2,,2,,1,2,,1,1,1,,,1,,,,,,1,1,,,3,,,2,1,2,,3,5,,,50,5,01,50,361.87968057
5332809,1,2,1,10,2,2,8,1981,39,2,6,,3,3,,2,,1,1,,1,1,,,,,,,,,,,1,,,3,,,2,1,2,,3,4,,,50,4,01,50,361.87968057
5332809,1,3,1,10,2,2,10,2007,13,3,6,,6,1,1,1,2,,,,,,,,,,,,,1,,,1,,,3,,,2,1,1,1,4,6,,,50,6,01,50,361.87968057
5332809,1,4,1,10,2,1,2,2009,11,3,6,,6,1,1,1,2,,,,,,,,,,,,,1,,,1,,,3,,,2,1,1,1,4,0,,,50,5,01,50,361.87968057
5332810,1,1,1,10,1,2,7,1975,45,1,6,,4,3,,2,,,,,1,1,1,,,1,,,,,,2,1,,,3,,,2,1,2,,3,5,,,50,5,01,50,145.34567475
5332810,1,2,1,10,2,2,9,1996,24,3,6,,6,2,,1,1,,,,,,,,,,,,,1,,,1,,,1,1,35000,2,1,1,1,6,5,2,2,50,16,01,50,145.34567475
5332810,1,3,1,10,1,1,2,2004,16,3,6,,6,2,,1,1,,,,,,,,,,,,,1,,,1,,,3,,,2,1,1,1,4,9,,,50,9,01,50,145.34567475
5332810,1,4,1,10,4,2,8,1951,69,5,6,,5,3,,1,5,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,5,,,50,5,01,50,145.34567475
5332810,1,5,1,10,4,2,1,1930,91,5,6,,5,3,,3,,,,,,,,,,,,,,1,,,1,,,1,5,,2,1,2,,3,2,,,50,2,01,50,145.34567475
5332836,1,1,1,10,1,2,7,1985,35,1,6,,4,2,,2,,,,,,1,1,,,,,1,,,,2,1,,,1,3,109800,2,1,2,,6,3,3,,54,14,01,54,289.97538681
5332842,1,1,1,10,1,2,5,1940,80,1,6,,6,3,,3,,,,,,,,,,,,1,,,,2,1,,,3,,,2,1,2,,3,5,,,54,5,01,54,343.56265745
5332842,1,2,1,10,2,2,12,1956,64,3,6,,6,3,,1,1,,,,,,,,,,,1,,,,,2,2,,,,,2,1,2,,3,5,,,54,5,01,54,343.56265745
5332843,1,1,1,10,1,1,12,1952,68,1,6,,2,3,,3,,1,2,,,,,1,,,,1,,,,2,1,,,3,,,2,1,2,,4,8,,,54,8,01,54,419.96569042
5332843,1,2,1,10,2,2,10,1945,75,2,6,,2,3,,3,,1,1,,,,,,,,,1,,,,,1,,,3,,,2,2,2,,1,0,,,54,0,01,54,419.96569042
5332846,1,1,1,10,1,2,12,1992,28,1,6,,2,2,,2,,1,2,,,,,,,1,,,,,,2,2,1,36,,,,1,1,2,,5,11,2,,76,11,01,76,919.74557592
5332846,1,2,1,10,2,1,4,1980,40,2,6,,2,2,,2,,1,1,,,,,,,1,,,,,,,1,,,3,,,2,1,2,,3,4,,,76,4,01,76,919.74557592
5332847,1,1,1,10,1,1,6,1948,72,1,6,,4,3,,3,,,,,,,,,,,,1,,,,1,2,1,36,,,,1,1,2,,3,5,,,76,5,01,76,932.22191901
5332848,1,1,1,10,1,2,7,1945,75,1,6,,5,3,,3,,,,,1,,1,,,,,1,,,,1,1,,,1,2,70224,2,1,2,,3,5,,,76,5,01,76,946.79045531
5332848,1,2,1,10,1,2,5,2002,18,4,6,,6,2,,2,,,,,,,,,,,1,1,,,,,1,,,1,5,,2,1,1,2,3,2,,,76,2,01,76,946.79045531
5332848,1,3,1,10,3,2,2,1950,70,5,6,,6,3,,3,,,,,,,1,,,,,,,,,,1,,,3,,,2,1,2,,3,3,,,76,3,01,76,946.79045531
5332849,1,1,1,10,1,1,7,1952,68,1,6,,3,3,,3,,1,2,,1,,,,,,,1,,,,2,1,,,1,2,104000,2,1,2,,5,11,2,,76,11,01,76,809.30288586
5332849,1,2,1,10,2,2,3,1956,64,2,6,,3,3,,3,,1,1,,1,1,,,,,,,,,,,1,,,1,5,,2,1,2,,3,5,,,76,5,01,76,809.30288586
5332850,1,1,1,10,1,2,11,1983,37,1,6,,2,3,,2,,1,2,,1,1,,,,,,,,,,2,1,,,3,,,2,1,2,,4,6,,,76,6,01,76,1307.2318022
5332850,1,2,1,10,2,1,12,1976,44,2,6,,2,3,,2,,1,1,,1,,1,,,,,1,,,,,1,,,3,,,2,1,2,,5,11,2,,76,11,01,76,1307.2318022
5332850,1,3,1,10,1,2,7,1998,22,3,6,,6,2,,1,1,,,,,,,,,1,,,,,,,1,,,1,1,52000,2,1,2,,5,11,2,,76,11,01,76,1307.2318022
5332850,1,4,1,10,1,2,12,2006,14,3,6,,6,1,2,1,1,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,4,8,,,76,8,01,76,1307.2318022
5332850,1,5,1,10,5,1,12,2002,18,5,6,,6,3,,3,,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,5,10,1,,76,10,01,76,1307.2318022
5332851,1,1,1,10,1,2,3,1971,49,1,6,,4,3,,3,,,,,,,,,,,,,,1,,2,1,,,3,,,2,1,2,,3,3,,,76,3,01,76,919.74557592
5332851,1,2,1,10,2,1,3,1994,26,3,6,,6,2,,1,1,,,,,,,,,,,,,1,,,1,,,1,1,48000,2,1,2,,5,11,2,,76,11,01,76,919.74557592
5332852,1,1,1,10,1,1,5,1972,48,1,6,,2,3,,3,,1,2,,1,1,1,,,,,,,,,1,1,,,3,,,2,1,2,,3,5,,,76,5,01,76,1104.8016632
5332852,1,2,1,10,1,2,4,1993,27,2,6,,2,2,,2,,1,1,,1,,,,,,,,,,,,1,,,1,5,,2,2,2,,1,0,,,76,0,01,76,1104.8016632
