DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P388;P6440;P6450;P6460;P6460S1;P6400;P6410;P6410S1;P6422;P6424S1;P6424S2;P6424S3;P6426;P6430S1;P6480;P6480S1;P9440;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P6765;P6765S1;P6772;P6772S1;P6773S1;P6775;P6750;P6760;P550;P6780;P6780S1;P6790;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P1879;P1805;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P6870;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6980;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S7A1;P6980S8;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P7040;P390;P7045;P7050;P7050S1;P7070;P7075;P7077;P1880;P1881;P1882;P3148;P7090;P7100;P7110;P7120;P7130;P7140;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P7240;P7240S1;OFICIO;RAMA2D_R4;OCI;P6430;RAMA4D_R4;INGLABO;MES;DPTO;fex_c_2011;RAMA4DP8_R4
5468958;1;1;1;60;05;5;1;2;1; ;1; ; ;1;1;2;1;42; ;7;POR PRACTICAS;2;1600000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;106454;2;1;34800;2;2; ; ;2; ; ;2; ; ;1;1600000;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;48; ;.;48; ; ;8;7; ;1; ;1;1;1;7;1;1; ; ; ; ; ; ; ; ;1;1;1;12;4;3; ;2; ; ; ; ; ; ; ;3;4;60; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;33;10;1;1;1089;1600000;06;05;1442,39108680116; 
5468958;1;3;1;60;05;5;2; ; ; ; ; ; ; ; ; ; ;120; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ; ;2;700000;1; ;3; ;12;2; ; ; ; ;3;3;2;70; ;.;70; ; ;1;6; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;24;96;4; ;2; ; ; ; ; ; ; ;11;11;15; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;9; ;45;47;1;4;4781;700000;06;05;1442,39108680116; 
5468959;1;2;1;60;05;5;1;2;2;12;1; ; ;1;1;2;1;96; ;5; ;1;1000000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;106454;2;2; ; ;2; ; ;2; ; ;2; ; ;1;1000000;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;48; ;.;48; ; ;9;7; ;1; ;1;1;1;8;1;1; ; ; ; ; ; ; ; ;1;1;2; ; ; ; ;2; ; ; ; ; ; ; ; ;2;60; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;1; ;39;85;1;1;8541;1000000;06;05;867,171073921304; 
5468960;1;1;1;60;05;5;1;2;2;3;1; ; ;1;1;2;1;1; ;1; ;2;908526;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;106454;2;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;1; ; ; ; ; ; ; ; ;48; ;.;48; ; ;9;7; ;1; ;1;1;1;0;1;1; ; ; ; ; ; ; ; ;1;1;1;72;24;1; ;2; ; ; ; ; ; ; ;1;4;60; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;8; ;39;22;1;1;2229;908526;06;05;1195,30537084732; 
5468960;1;2;1;60;05;5;1;2;1; ;1; ; ;1;1;2;1;4; ;1; ;2;1000000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;106454;2;1;38000;2;2; ; ;2; ; ;2; ; ;1;980000;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;48; ;.;48; ; ;7;9; ;1; ;1;1;1;15;1;1; ; ; ; ; ; ; ; ;1;1;1;0;24;1; ;2; ; ; ; ; ; ; ;1;4;90; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;8; ;95;41;1;1;4112;1000000;06;05;1195,30537084732; 
5468961;1;2;1;60;05;5;2; ; ; ; ; ; ; ; ; ; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ; ;2;600000;1; ;3; ;8;2; ; ; ; ;3;1;1;72; ;.;72; ; ;1;6; ;7; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;4;6;1; ;2; ; ; ; ; ; ; ;13;4;90; ;2; ; ; ;1;1;1;1;2;1;2;1;1;1;1;PRE;1;1;1;1;2;2;1;2;8; ;45;47;1;4;4789;600000;06;05;1956,05043855734; 
5468961;1;4;1;60;05;5;1;1; ; ;1; ; ;2;2;2;2;3; ;1; ;2;910000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;48; ;.;48; ; ;4;9; ;5; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;15;4; ;2; ; ; ; ; ; ; ;2;4;40; ;1;4;2;1;1;1;1;1;2;1;2;2;2;2;1;TENER PRESTACIONES SOCIALES;1;1;1;2;1;2;2;1;8; ;97;41;1;1;4111;910000;06;05;1956,05043855734; 
5468961;1;5;1;60;05;5;2; ; ; ; ; ; ; ; ; ; ;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ; ;2;600000;1; ;3; ;8;2; ; ; ; ;3;1;1;70; ;.;70; ; ;1;6; ;11; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;4;120;4; ;2; ; ; ; ; ; ; ;13;2;20; ;2; ; ; ;1;1;2;1;2;2;2;2;1;1;2; ;2;1;2;2;2;2;1;1;8; ;45;47;1;4;4789;600000;06;05;1956,05043855734; 
5468962;1;1;1;60;05;5;2; ; ; ; ; ; ; ; ; ; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;80000;1; ;3; ;4;2; ; ; ; ;3;4;2;10;1; ;10; ; ;1;2; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;15;3;1; ;2; ; ; ; ; ; ; ;13;3;4; ;1;24;1;1;1;1;1;1;2;1;2;2;2;2;1;TENER PRESTACIONES SOCIALES;1;1;1;2;1;2;2;1;3; ;13;85;1;4;8559;80000;06;05;1610,48627002962; 
5468962;1;2;1;60;05;5;1;1; ; ;1; ; ;2;2;2;2;2; ;1; ;2;150000;2; ; ;1;200000;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;6; ; ; ; ; ; ; ; ;18;1; ;18; ; ;3;7; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;6;4;1; ;2; ; ; ; ; ; ; ;1;3;20; ;1;48;1;1;1;1;2;1;2;1;2;2;2;2;2; ;1;2;2;2;2;2;2;1;8; ;77;10;1;1;1081;350000;06;05;1610,48627002962; 
5468963;1;2;1;60;05;5;2; ; ; ; ; ; ; ; ; ; ;240; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;800000;1; ;3; ;12;2; ; ; ; ;3;3;2;50; ;.;0;7;DILIGENCIAS MEDICAS;1;2; ;6; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ;1;5;0;4; ;450000;1;1; ;3;10; ;1;24;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;10;ARRI;57;96;1;4;9602;1250000;06;05;1028,35550250495; 
5468964;1;1;1;60;05;5;1;2;2;12;1; ; ;1;1;2;1;36; ;2; ;2;1000000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;370000;2;1;34800;2;2; ; ;2; ; ;2; ; ;1;877803;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;48; ;.;48; ; ;9;5; ;1; ;1;1;1;5;1;1; ; ; ; ; ; ; ; ;1;1;1;0;72;4; ;2; ; ; ; ; ; ; ;8;2;60; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;45;10;1;1;1081;1000000;06;05;1520,5371235567; 
5468965;1;1;1;60;05;5;1;2;1; ;1; ; ;1;1;2;1;84; ;1; ;2;1180000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;106454;2;1;35000;2;2; ; ;2; ; ;2; ; ;1;1190000;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;48; ;.;48; ; ;9;9; ;1; ;1;2;1;8;1;1; ; ; ; ; ; ; ; ;1;1;1;2;36;1; ;2; ; ; ; ; ; ; ;1;13;90; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;1; ;95;41;1;1;4112;1180000;06;05;1443,53640168725; 
5468966;1;1;1;60;05;5;2; ; ; ; ; ; ; ; ; ; ;24; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;600000;1; ;3; ;12;2; ; ; ; ;2;1;1;36;2; ;36; ; ;1;4; ;4; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;1;48;2; ;1;5;12;1; ;480000;3;7;13;3;2; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;9; ;97;53;1;4;5320;1080000;06;05;1283,16272929405; 
5468966;1;2;1;60;05;5;2; ; ; ; ; ; ; ; ; ; ;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;800000;1; ;3; ;12;2; ; ; ; ;3;1;1;60; ;.;50;7;POR LA APLICACION CON LA QUE TRABAJA;1;4; ;4; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;1;6;1; ;2; ; ; ; ; ; ; ;2;3;2; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;2;1;3; ;97;53;1;4;5320;800000;06;05;1283,16272929405; 
5468967;1;1;1;60;05;5;1;2;1; ;1; ; ;1;1;2;1;36; ;1; ;2;908526;1;164000;2;2; ;2; ;2; ;2; ;2; ; ;1;106454;2;2; ; ;2; ; ;2; ; ;2; ; ;1;877803;2; ;2; ;2; ;2; ;1;12; ; ; ; ; ; ; ; ; ; ; ;12; ; ; ; ; ; ; ; ;48; ;.;60; ; ;7;4; ;1; ;1;1;1;3;1;1; ; ; ; ; ; ; ; ;1;1;1;0;42;1; ;2; ; ; ; ; ; ; ;9;2;60; ;2; ; ; ;1;1;1;1;2;2;2;2;2;2;2; ;2;1;1;2;1;2;1;1;1; ;98;96;1;1;9601;908526;06;05;1106,30269751449; 
5468967;1;2;1;60;05;5;1;2;1; ;1; ; ;1;1;2;1;48; ;1; ;2;908526;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;106454;2;1;35000;2;2; ; ;2; ; ;2; ; ;1;877803;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;48; ;.;48; ; ;8;7; ;1; ;1;2;1;9;1;1; ; ; ; ; ; ; ; ;1;1;1;3;48;1; ;2; ; ; ; ; ; ; ;5;11;30; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;97;22;1;1;2229;908526;06;05;1106,30269751449; 
5468968;1;1;1;60;05;5;2; ; ; ; ; ; ; ; ; ; ;60; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;900000;1; ;3; ;12;2; ; ; ; ;3;1;2;48; ;.;30;6; ;1;2; ;11; ;2; ; ; ;1; ; ;1; ; ; ; ; ; ;2;2;1;0;3;4; ;2; ; ; ; ; ; ; ;10;2;25;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;2;1;3; ;57;96;1;4;9602;900000;06;05;1272,30609271677; 
5468969;1;1;1;60;05;5;2; ; ; ; ; ; ; ; ; ; ;72; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ; ;2;100000;1; ;3; ;12;2; ; ; ; ;3;5;2;6;2; ;6; ; ;1;7; ;3; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;6;1; ;2; ; ; ; ; ; ; ;1;3;2; ;2; ; ; ;1;1;2;1;2;1;2;2;1;2;2; ;2;1;1;2;1;2;2;1;9; ;61;01;1;4;0145;100000;06;05;1262,56388087177; 
5468969;1;3;1;60;05;5;1;2;2;6;1; ; ;2;1;2;1;36; ;2; ;2;1200000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;106454;2;1;70000;2;2; ; ;2; ; ;2; ; ;1;1200000;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;48; ;.;48; ; ;9;6; ;1; ;1;1;1;8;1;1; ; ; ; ; ; ; ; ;1;1;1;4;24;1; ;2; ; ; ; ; ; ; ;1;2;45; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;2;2;2;8; ;95;42;1;1;4210;1200000;06;05;1262,56388087177; 
5468970;1;1;1;60;05;5;2; ; ; ; ; ; ; ; ; ; ;50; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;900000;1; ;3; ;12;2; ; ; ; ;2;1;1;48; ;.;30;6; ;1;2; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;8;48;1; ;2; ; ; ; ; ; ; ;1;4;70;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;54;81;1;4;8121;900000;06;05;953,174338461753; 
5468971;1;1;1;60;05;5;1;2;1; ;1; ; ;1;1;2;1;16; ;1; ;2;980000;2; ; ;1;200000;1;300000;2; ;2; ;2; ; ;1;106454;2;2; ; ;2; ; ;2; ; ;2; ; ;1;900000;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;48; ;.;48; ; ;2;2; ;1; ;1;2;1;4;1;1; ; ; ; ; ; ; ; ;1;1;1;2;48;1; ;2; ; ; ; ; ; ; ;1;4;60; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;54;97;1;3;9700;1480000;06;05;1283,97052455974; 
5468971;1;2;1;60;05;5;1;2;2;12;2;4;ASEO UNO A;1;1;2;1;36; ;2; ;2;1142000;1;65000;2;2; ;2; ;2; ;2; ;2; ; ;1;106454;2;1;35000;2;2; ; ;2; ; ;2; ; ;1;1100000;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;48; ;.;48; ; ;4;7; ;1; ;1;1;1;4;1;1; ; ; ; ; ; ; ; ;1;1;1;2;18;1; ;2; ; ; ; ; ; ; ;1;4;60; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;55;68;1;1;6820;1142000;06;05;1283,97052455974;7820
5468973;1;2;1;60;05;5;1;2;1; ;1; ; ;1;1;2;1;24; ;1; ;2;1000000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;106454;2;2; ; ;2; ; ;2; ; ;2; ; ;1;1000000;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;48; ;.;48; ; ;7;7; ;1; ;1;2;1;3;1;1; ; ; ; ; ; ; ; ;1;1;1;0;6;1; ;2; ; ; ; ; ; ; ;1;2;45; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;03;43;1;1;4330;1000000;06;05;1936,19125930905; 
5468974;1;1;1;60;05;5;1;2;2;12;2;4;INGEOMEGA;1;1;2;1;28; ;1; ;2;908526;1;50000;2;2; ;2; ;2; ;2; ;2; ; ;1;106454;2;1;34800;2;2; ; ;2; ; ;2; ; ;1;877803;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;48; ;.;48; ; ;9;6; ;1; ;1;2;1;10;1;1; ; ; ; ; ; ; ; ;1;1;1;0;48;1; ;2; ; ; ; ; ; ; ;3;11;25; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;9; ;87;36;1;1;3600;908526;06;05;1028,82873907499;4322
5468974;1;2;1;60;05;5;2; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;80000;1; ;1; ;1;2; ; ; ; ;3;1;2;16;1; ;16; ; ;1;2; ;3; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;14;5;1; ;2; ; ; ; ; ; ; ;2;2;90; ;1;29;2;1;1;1;2;1;2;1;2;1;1;1;2; ;2;1;2;2;2;2;2;1;3; ;93;43;1;4;4330;80000;06;05;1028,82873907499; 
5468975;1;1;1;60;05;5;1;2;1; ;1; ; ;1;1;2;1;84; ;2; ;2;1400000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;106454;2;1;70000;2;2; ; ;2; ; ;2; ; ;1;1400000;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;48; ;.;48; ; ;9;5; ;1; ;1;1;1;12;1;1; ; ; ; ; ; ; ; ;1;1;1;0;36;1; ;2; ; ; ; ; ; ; ;1;11;25; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;37;46;1;1;4645;1400000;06;05;1107,44801240058; 
5468978;1;3;1;60;05;5;1;2;1; ;1; ; ;1;1;2;1;168; ;4; ;2;908526;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;106454;2;2; ; ;2; ; ;2; ; ;2; ; ;1;803877;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;45; ;.;45; ; ;4;7; ;1; ;3; ; ; ; ;.; ; ; ; ; ; ; ; ;2;1;1;0;86;1; ;2; ; ; ; ; ; ; ;2;3;10; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;10;DE LA PENSION;79;14;1;1;1410;908526;06;05;1190,52494481797; 
5468978;1;4;1;60;05;5;1;1; ; ;1; ; ;1;1;2;1;168; ;1; ;2;908526;2; ; ;1;250000;1;350000;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;1;877803;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;56; ;.;56; ; ;1;1; ;1; ;1;2;3;10;1; ;1; ; ; ; ; ; ; ;1;2;1;24;48;3; ;2; ; ; ; ; ; ; ;13;14; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;5; ;54;97;1;3;9700;1508526;06;05;1190,52494481797; 
5468979;1;1;1;60;05;5;1;1; ; ;1; ; ;1;2;2;1;10; ;1; ;2;860000;2; ; ;1;150000;2; ;2; ;2; ;2; ; ;1;106000;2;1;72000;2;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;48; ;.;48; ; ;1;2; ;1; ;1;2;1;98;1;1; ; ; ; ; ; ; ; ;1;1;1;12;12;3; ;2; ; ; ; ; ; ; ;3;4;120; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;8; ;54;97;1;3;9700;1010000;06;05;1776,62538218154; 
5468980;1;1;1;60;05;5;1;2;1; ;1; ; ;1;1;2;1;72; ;2; ;1;1100000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;106454;2;1;39400;2;2; ; ;2; ; ;2; ; ;1;890000;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;48; ;.;40;2; ;9;7; ;1; ;1;1;1;7;1;1; ; ; ; ; ; ; ; ;1;1;1;0;6;1; ;2; ; ; ; ; ; ; ;5;11;30; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;2; ;83;25;1;1;2599;1100000;06;05;1339,38293117031; 
5468980;1;4;1;60;05;5;2; ; ; ; ; ; ; ; ; ; ;240; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;1000000;1; ;3; ;12;2; ; ; ; ;3;3;2;50; ;.;50; ; ;1;4; ;1; ;3; ; ; ; ;.; ; ; ; ; ; ; ; ;2;2;1;3;30;1; ;2; ; ; ; ; ; ; ;2;3;1; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;10;PENSION;98;49;1;4;4921;1000000;06;05;1339,38293117031; 
5468982;1;1;1;60;05;5;2; ; ; ; ; ; ; ; ; ; ;54; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;500000;1; ;3; ;12;2; ; ; ; ;3;1;1;48; ;.;30;6; ;1;7; ;5; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;4;1; ;2; ; ; ; ; ; ; ;5;11;30;1;1;20;2;1;1;1;1;1;2;2;2;2;2;1;2; ;2;1;1;1;1;2;1;1;8; ;95;41;1;4;4112;500000;06;05;1363,06303445538; 
5468983;1;2;1;60;05;5;1;2;1; ;1; ; ;2;1;2;1;4; ;1; ;2;908526;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;106454;2;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;4; ; ; ; ; ; ; ; ;48; ;.;32;1; ;4;7; ;1; ;1;1;1;0;1;1; ; ; ; ; ; ; ; ;1;1;1;18;10;1; ;2; ; ; ; ; ; ; ;5;11;30;2;2; ; ; ;1;1;1;1;1;1;2;2;1;2;2; ;2;1;2;1;1;2;1;1;8; ;95;41;1;1;4112;908526;06;05;1105,82946094444; 
5468984;1;1;1;60;05;5;2; ; ; ; ; ; ; ; ; ; ;18; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ; ;2;650000;1; ;3; ;12;2; ; ; ; ;3;11;1;70; ;.;70; ; ;1;6; ;11; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;1;6;1; ;2; ; ; ; ; ; ; ;5;3;30; ;1;12;1;1;1;1;1;1;2;1;2;2;2;2;2; ;1;1;1;2;2;2;2;1;8; ;45;47;1;4;4781;650000;06;05;1447,92098410973; 
5468984;1;2;1;60;05;5;2; ; ; ; ; ; ; ; ; ; ;36; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ; ;2;200000;1; ;3; ;12;2; ; ; ; ;3;11;1;40; ;.;40; ; ;1;6; ;11; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;3;30; ;1;10;1;1;1;1;1;1;2;1;2;1;2;2;2; ;1;1;2;2;2;2;2;1;8; ;45;47;1;4;4781;200000;06;05;1447,92098410973; 
5468986;1;1;1;60;05;5;1;2;1; ;1; ; ;1;1;2;1;6; ;1; ;2;908526;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;6; ; ; ; ; ; ; ; ;48; ;.;48; ; ;3;7; ;1; ;1;2;1;15;1;1; ; ; ; ; ; ; ; ;1;1;1;6;12;1; ;2; ; ; ; ; ; ; ;2;11;60; ;2; ; ; ;1;1;1;1;2;2;2;2;2;2;2; ;2;1;2;2;2;2;2;2;8; ;95;41;1;1;4112;908526;06;05;1195,30537084732; 
