DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,CLASE,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P9460,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S7A1,P7420S8,P7422,P7422S1,P1806,P1519,P1883,RAMA2D_D_R4,OFICIO1,OFICIO2,DSI,DSCY,MES,RAMA4D_D_R4,DPTO,fex_c_2011
5367029,1,1,1,70,,1,10,48,4,,2,10,3,,1,2,4,,,,,,,,,,,1,2,,900000,2,,97,53,54,1,1,02,9700,68,4106.098894
5367033,1,1,1,70,,1,8,48,1,,2,52,1,,2,2,3,,,,,,,,,,,1,2,,600000,2,,33,39,81,1,1,02,3315,68,4487.7300515
5367034,1,1,1,70,,1,5,48,1,,2,5,1,,6,2,4,,,,,1,,,,,,,2,,900000,2,,78,55,55,1,1,02,7820,68,3516.2560102
5367035,1,2,1,70,,1,24,40,1,,2,52,4,,9,2,1,,,,,,,,,,,1,2,,800000,2,,84,39,39,1,2,02,8412,68,4739.6585289
5367041,1,1,1,70,,1,4,48,1,,2,24,1,,3,2,4,,,,,,,,,,,1,2,,900000,2,,56,53,53,1,1,02,5630,68,4074.0460519
5367041,1,2,1,70,,1,4,48,1,,2,6,1,,3,2,4,,,,,,,,,,,1,2,,900000,2,,56,53,53,1,1,02,5630,68,4074.0460519
5367063,1,2,1,70,05,1,40,48,1,,2,44,1,,7,2,1,,,,,,,,,,,1,2,,1500000,2,,43,95,95,1,2,02,4330,05,1157.1889824
5367063,1,3,1,70,05,1,40,48,1,,2,104,1,,6,2,1,,,,,,,,,,,1,2,,908000,2,,10,55,77,1,2,02,1081,05,1157.1889824
5367064,1,3,1,70,05,1,16,48,1,,2,20,1,,2,2,1,,,,,,,,,,,1,2,,908000,2,,47,45,45,1,2,02,4724,05,1307.2338945
5367070,1,1,1,70,05,1,40,48,4,,2,44,4,,1,2,1,,,1,,,,,,,,,2,,908526,1,2,53,37,37,1,2,02,5320,05,1056.6532338
5367071,1,1,1,70,05,1,29,48,1,,2,29,1,,6,2,2,,,,,,,,,,,1,2,,1000000,2,,79,32,44,1,2,02,7911,05,1256.6482115
5367074,1,2,1,70,05,1,20,48,1,,2,6,1,,7,2,2,,,,,,,,,,,1,2,,2500000,2,,82,21,21,1,2,02,8230,05,964.62999258
5367081,1,1,1,70,05,1,2,48,1,,2,2,1,,2,2,4,,,,,,,,,,,1,1,1000000,1600000,2,,49,98,98,1,1,02,4923,05,985.03489681
5367084,1,1,1,70,05,1,104,48,1,,2,104,2,,9,2,1,,,,,,,,,1,YA ES PENSIONADO,,2,,1500000,3,,85,15,13,1,2,02,8544,05,1488.2383704
5367088,1,1,1,70,05,1,28,48,3,,2,28,3,,1,2,1,,,,,,,,,,,1,2,,908526,2,,97,54,54,1,2,02,9700,05,1111.6375453
5367088,1,3,1,70,05,1,5,48,1,,2,5,1,,7,2,1,,,,,,,,,,,1,2,,980000,2,,46,45,45,1,1,02,4649,05,1111.6375453
5367092,1,2,1,70,05,1,40,48,2,,2,40,1,,8,2,3,,,,,1,,,,,,,2,,2000000,2,,85,13,13,1,2,02,8530,05,1076.3458793
5367094,1,5,1,70,05,1,12,48,1,,2,36,1,,9,2,1,,,,,,,,,,,1,2,,906000,2,,78,45,55,1,1,02,7820,05,1514.4785614
5367104,1,2,1,70,05,1,4,48,1,,2,5,1,,7,2,2,,,,,,,,,,,1,2,,908526,2,,43,85,85,1,1,02,4321,05,1434.6422311
5367125,1,1,1,70,05,1,4,48,1,,2,4,1,,9,2,2,,,,,1,,,,,,,1,1300000,18000000,2,,84,44,44,1,1,02,8430,05,1353.3525833
5367126,1,1,1,70,05,1,4,48,1,,2,54,4,,1,2,2,,,,,,,,,,,1,2,,908600,2,,88,45,54,1,1,02,8890,05,958.34816104
5367126,1,3,1,70,05,1,102,48,1,,2,102,1,,9,2,1,,,,,,,,,,,1,2,,1000000,2,,82,38,38,1,2,02,8220,05,958.34816104
5367142,1,1,1,70,08,1,8,48,1,,2,8,1,,9,2,1,,,,,,,,,,,1,2,,906000,2,,01,98,98,1,1,02,0126,08,623.05617445
5367142,1,5,1,70,08,1,12,48,1,,2,12,4,,1,2,1,,,,,,,,,,,1,2,,906000,2,,41,95,95,1,1,02,4111,08,623.05617445
5367144,1,3,1,70,08,1,12,48,1,,2,44,1,,6,2,1,,,,,,,,,,,1,2,,906000,2,,47,45,45,1,1,02,4771,08,780.28402512
5367144,1,4,1,70,08,1,52,48,1,,2,52,1,,7,2,1,,,,,,,,,,,1,2,,906000,2,,47,45,45,1,2,02,4771,08,780.28402512
5367150,1,1,1,70,13,1,20,48,1,,2,24,1,,4,1,1,,,,,,,,,,,1,2,,908526,2,,56,53,53,1,2,02,5619,13,325.40419846
5367156,1,2,1,70,13,1,40,48,1,,2,40,1,,8,2,1,,,,,,,,,,,1,2,,908526,2,,55,55,55,1,2,02,5511,13,427.09550522
5367161,1,1,1,70,15,1,52,52,1,,2,52,1,,3,2,1,,,,,,,,,,,1,2,,900000,2,,55,54,54,1,2,02,5511,15,103.15625766
5367162,1,3,1,70,15,1,12,48,1,,2,12,1,,1,2,1,,,,,,,,,,,1,2,,908500,2,,49,98,98,1,1,02,4921,15,137.9685673
5367162,1,4,1,70,15,1,42,40,1,,2,42,1,,4,2,1,,,,,,,,,,,1,2,,908600,2,,69,39,39,1,2,02,6910,15,137.9685673
5367166,1,2,1,70,15,1,8,48,3,,2,8,3,,1,2,8,,,,,,,,,,,1,2,,900000,2,,97,54,54,1,1,02,9700,15,110.01152902
5367167,1,2,1,70,15,1,4,40,1,,2,4,1,,2,2,1,,,,,,,,,,,1,1,800000,908526,2,,47,97,45,1,1,02,4771,15,80.173071989
5367168,1,1,1,70,15,1,48,48,1,,2,48,1,,2,2,1,,,,,,,,,,,1,2,,877803,2,,01,95,62,1,2,02,0111,15,165.27923949
5367168,1,2,1,70,15,1,40,48,1,,2,20,1,,4,2,1,,,,,,,,,,,1,2,,877804,2,,82,53,53,1,2,02,8230,15,165.27923949
5367168,1,3,1,70,15,1,40,48,1,,1,,,,,,,,.,,,,,,,,.,,,,877803,,,,53,,1,2,02,.,15,165.27923949
5367178,1,1,1,70,15,1,2,40,4,,2,2,4,,1,2,1,,,,,,,,,,,1,1,460000,1000000,2,,41,95,95,1,1,02,4111,15,128.29317316
5367181,1,1,1,70,15,1,30,40,3,,2,52,1,,6,2,1,,,,,,,,,,,1,2,,1000000,2,,86,54,55,1,2,02,8621,15,122.72577127
5367186,1,1,1,70,15,1,40,48,3,,2,40,3,,1,2,1,,,,,,,,,,,1,2,,700000,2,,97,54,54,1,2,02,9700,15,99.449936265
5367190,1,2,1,70,15,1,12,40,1,,2,12,1,,7,2,1,,,,,,,,,,,1,2,,1500000,2,,74,16,16,1,1,02,7410,15,101.84133719
5367207,1,1,1,70,15,1,4,48,1,,2,4,1,,7,2,1,,,,,,,,,,,1,2,,1000000,2,,85,13,13,1,1,02,8530,15,120.12406164
5367212,1,1,1,70,15,1,32,40,3,,2,32,3,,1,2,1,,,,,,,,,,,1,2,,908526,2,,97,54,54,1,2,02,9700,15,95.770977261
5367214,1,1,1,70,15,1,20,40,1,,2,20,1,,6,2,1,,,,,,,,,,,1,2,,908526,2,,94,97,98,1,2,02,9492,15,117.92715905
5367221,1,1,1,70,15,1,8,40,1,,2,5,4,,9,2,1,,,,1,,,,,,,,2,,2800000,1,1,84,02,02,1,1,02,8413,15,116.65541135
5367223,1,3,1,70,15,1,40,48,2,,2,40,1,,8,2,1,,,,1,,,,,,,,2,,1200000,1,1,85,13,13,1,2,02,8530,15,98.591100045
5367225,1,1,1,70,15,1,2,40,1,,2,2,1,,3,2,1,,,,,,,,,,,1,1,1000000,1200000,2,,41,95,95,1,1,02,4111,15,116.65541135
5367229,1,1,1,70,15,1,32,48,1,,2,40,4,,9,2,3,,,1,,,,,,,,,2,,900000,2,,84,21,31,1,2,02,8412,15,119.78823953
5367230,1,1,1,70,17,1,4,48,1,,2,4,1,,9,2,1,,,,,,,,,,,1,1,908526,908526,2,,80,58,58,1,1,02,8010,17,216.39672357
5367233,1,2,1,70,17,1,8,48,4,,2,8,4,,1,2,1,,,,,,,,,,,1,2,,908526,2,,41,95,95,1,1,02,4111,17,186.76523763
5367235,1,1,1,70,17,1,8,48,1,,2,8,1,,9,2,2,,,,,,,,,,,1,2,,908526,2,,82,38,38,1,1,02,8220,17,232.0681391
5367243,1,2,1,70,17,1,48,48,1,,2,48,1,,2,2,1,,,,,,,,,,,1,2,,908526,2,,41,95,95,1,2,02,4111,17,153.58174729
5367243,1,3,1,70,17,1,4,48,8,,2,4,8,,3,2,1,,,,,1,,,,,,,2,,908526,2,,01,62,62,1,1,02,0123,17,153.58174729
5367247,1,1,1,70,17,1,24,48,1,,2,24,1,,3,2,1,,,,,,,,,,,1,2,,908526,2,,56,53,53,1,2,02,5611,17,227.03418206
5367249,1,2,1,70,17,1,4,48,1,,2,8,1,,9,2,2,,,,,,,,,,,1,2,,2000000,2,,85,32,32,1,1,02,8551,17,216.39672357
5367252,1,2,1,70,18,1,20,25,1,,2,40,1,,2,2,1,,,,,,,,,,,1,2,,350000,2,,10,45,45,1,2,02,1081,18,131.60205925
5367254,1,1,1,70,18,1,1,48,1,,2,4,1,,3,2,1,,,,,,,,,,,1,1,800000,900000,2,,41,58,95,1,1,02,4111,18,101.99791779
5367263,1,1,1,70,18,1,4,48,1,,2,4,1,,3,2,7,,,,,,,,,,,1,2,,700000,2,,47,54,45,1,1,02,4772,18,74.045851444
5367269,1,1,1,70,18,1,4,48,1,,2,8,1,,3,2,1,,,,,,,,,,,1,2,,1000000,2,,69,32,32,1,1,02,6910,18,91.018746863
5367277,1,3,1,70,18,1,24,48,1,,2,24,1,,4,2,2,,,,,,,,,,,1,2,,980000,2,,86,07,07,1,2,02,8622,18,69.054123096
5367283,1,3,1,70,19,1,259,40,1,,2,28,4,,1,2,1,,,,,,,,,,,1,2,,1600000,2,,85,12,13,1,2,02,8559,19,93.115090864
5367283,1,5,1,70,19,1,8,40,1,,2,8,4,,7,2,2,,,,,,,,,,,1,2,,3000000,2,,85,12,13,1,1,02,8544,19,93.115090864
5367285,1,2,1,70,19,1,52,45,1,,2,52,1,,8,2,1,,,,,,,,,,,1,2,,1300000,2,,94,03,32,1,2,02,9499,19,102.90070511
5367288,1,2,1,70,19,1,24,40,1,,2,24,4,,3,2,2,,,,,,,,,,,1,2,,980000,2,,41,95,95,1,2,02,4111,19,133.69835465
5367288,1,3,1,70,19,1,32,45,1,,1,,,,,,,,.,,,,,,,,.,,,,1800000,,,,19,,1,2,02,.,19,133.69835465
5367288,1,4,1,70,19,1,32,45,1,,1,,,,,,,,.,,,,,,,,.,,,,980000,,,,16,,1,2,02,.,19,133.69835465
5367289,1,3,1,70,19,1,48,48,1,,1,,,,,,,,.,,,,,,,,.,,,,3000000,,,,02,,1,2,02,.,19,136.38536391
5367291,1,1,1,70,19,1,52,45,1,,2,52,1,,8,2,2,,,,,,,,,,,1,2,,980000,2,,47,45,45,1,2,02,4759,19,88.518555688
5367291,1,2,1,70,19,1,24,45,1,,1,,,,,,,,.,,,,,,,,.,,,,980000,,,,45,,1,2,02,.,19,88.518555688
5367292,1,1,1,70,19,1,8,48,4,,2,50,1,,9,2,2,,,,,,,,,,,1,2,,98,2,,35,19,33,1,1,02,3511,19,113.7363692
5367293,1,3,1,70,19,1,40,45,1,,2,40,1,,6,2,3,,,,,,,,,,,1,2,,877810,2,,49,98,98,1,2,02,4921,19,135.06215263
5367293,1,4,1,70,19,1,24,40,1,,1,,,,,,,,.,,,,,,,,.,,,,877810,,,,45,,1,2,02,.,19,135.06215263
5367295,1,5,1,70,19,1,12,40,1,,2,12,1,,9,2,7,,,,,,,,,,,1,2,,980000,2,,35,03,03,1,1,02,3511,19,144.59188413
5367297,1,2,1,70,19,1,3,48,4,,2,7,4,,1,2,1,,,,,,,,,,,1,2,,98,2,,81,55,55,1,1,02,8121,19,69.181686754
5367302,1,2,1,70,19,1,8,48,1,,2,40,1,,3,2,1,,,,,,,,,,,1,2,,900000,2,,85,18,18,1,1,02,8552,19,114.55363904
5367302,1,3,1,70,19,1,3,48,1,,2,39,4,,7,2,4,,,,,,,,,,,1,2,,98,2,,86,11,39,1,1,02,8692,19,114.55363904
5367311,1,1,1,70,19,1,36,48,1,,2,44,1,,4,2,1,,,,,,,,,,,1,2,,877000,2,,93,33,33,1,2,02,9329,19,100.66922035
5367315,1,1,1,70,19,1,4,40,2,,2,8,2,,9,2,1,,,,,1,,,,,,,1,4000000,3500000,2,,84,12,12,1,1,02,8424,19,138.16750403
5367317,1,4,1,70,19,1,5,40,1,,1,,,,,,,,.,,,,,,,,.,,,,98,,,,45,,1,1,02,.,19,89.335825536
5367320,1,2,1,70,19,1,36,40,1,,2,77,1,,2,2,1,,,,,,,,,,,1,2,,1500000,2,,47,59,45,1,2,02,4773,19,86.265547741
5367320,1,3,1,70,19,1,156,48,1,,2,156,1,,2,2,4,,,1,,,,,,,,,2,,1500000,1,2,47,45,45,1,2,02,4771,19,86.265547741
5367321,1,1,1,70,19,1,6,40,1,,2,4,1,,6,2,1,,,,,,,,,,,1,2,,1000000,2,,86,59,59,1,1,02,8621,19,102.42449757
5367334,1,2,1,70,19,1,38,40,1,,2,38,1,,4,2,1,,,,,,,,,,,1,2,,700000,2,,41,95,95,1,2,02,4111,19,88.518555688
5367340,1,1,1,70,23,1,12,48,1,,2,46,1,,7,2,1,,,,,,,,,,,1,2,,2000000,2,,86,19,19,1,1,02,8610,23,158.14895003
5367346,1,1,1,70,23,1,40,48,3,,2,40,3,,1,2,1,,,,,,,,,,,1,2,,400000,2,,97,54,54,1,2,02,9700,23,99.438387039
5367346,1,3,1,70,23,1,20,42,1,,2,40,1,,5,2,1,,,,,,,,,,,1,2,,800000,2,,47,59,45,1,2,02,4771,23,99.438387039
5367347,1,2,1,70,23,1,48,48,1,,2,48,1,,9,2,1,,,,,,,,,,,1,2,,908526,2,,82,38,38,1,2,02,8220,23,115.61215834
5367348,1,2,1,70,23,1,52,48,1,,2,4,4,,1,2,1,,,,,,,,,,,1,1,200000,908526,2,,47,45,45,1,2,02,4719,23,178.45902204
5367352,1,2,1,70,23,1,8,30,1,,2,20,1,,2,2,4,,,,,,,,,,,1,2,,908526,2,,47,40,40,1,1,02,4772,23,120.42892367
5367355,1,1,1,70,23,1,28,48,1,,2,28,4,,1,2,1,,,,,,,,,,,1,2,,1000000,2,,47,45,41,1,2,02,4773,23,118.89809496
5367374,1,2,1,70,27,1,6,48,4,,2,6,4,,2,2,1,,,,,,,,,,,1,2,,1114000,2,,43,93,93,1,1,02,4330,27,35.413265677
5367375,1,1,1,70,27,1,52,48,1,,2,16,3,,1,2,1,,,,,,,,,,,1,2,,300000,2,,97,45,54,1,2,02,9700,27,35.413265677
5367379,1,2,1,70,27,1,52,48,1,,2,104,1,,2,2,1,,,,,,,,,,,1,2,,600000,2,,56,55,77,1,2,02,5611,27,35.413265677
5367389,1,1,1,70,27,1,28,48,1,,2,28,1,,9,2,1,,,,,,,,,,,1,2,,500000,2,,85,45,13,1,2,02,8512,27,35.413265677
5367390,1,2,1,70,27,1,40,40,2,,2,40,2,,9,2,2,,,,,,,,,,,1,2,,1500000,2,,84,39,39,1,2,02,8412,27,35.413265677
5367407,1,2,1,70,27,1,2,48,3,,2,2,3,,1,2,1,,,,,,,,,,,1,1,80000,300000,2,,97,54,54,1,1,02,9700,27,35.413265677
5367411,1,1,1,70,27,1,20,40,4,,2,20,4,,4,2,1,,,,,,,,,,,1,2,,1000000,2,,38,13,99,1,2,02,3830,27,35.413265677
5367424,1,1,1,70,27,1,8,48,1,,2,48,1,,3,2,1,,,,,,,,,,,1,2,,1000000,2,,47,45,45,1,1,02,4771,27,35.413265677
5367430,1,1,1,70,41,1,6,45,1,,2,15,1,,5,2,1,,,,,,,,,,,1,2,,1000000,2,,10,77,77,1,1,02,1040,41,190.77997652
5367435,1,3,1,70,41,1,108,50,1,,2,108,1,,6,2,2,,,,,,,,,,,1,2,,940000,2,,47,45,45,1,2,02,4772,41,203.10847435
5367435,1,5,1,70,41,1,24,60,1,,2,25,1,,4,2,1,,,1,,,,,,,,,1,100000,1000000,1,1,47,87,45,1,2,02,4771,41,203.10847435
5367437,1,2,1,70,41,1,60,40,1,,1,,,,,,,,.,,,,,,,,.,,,,900000,,,,45,,1,2,02,.,41,198.83127309
5367438,1,1,1,70,41,1,8,40,1,,2,8,1,,9,2,1,,,,,,,,,,,1,2,,900000,2,,86,59,59,1,1,02,8610,41,193.49555825
5367443,1,2,1,70,41,1,6,50,1,,2,10,1,,3,2,1,,,,,,,,,,,1,2,,1000000,2,,41,95,95,1,1,02,4111,41,111.90606554
5367444,1,2,1,70,41,1,5,45,4,,2,6,4,,1,2,8,,,,,1,,,,,,,2,,1000000,2,,43,93,93,1,1,02,4330,41,204.09049704
5367446,1,1,1,70,41,1,48,48,1,,2,48,1,,9,2,1,,,,,,,,,,,1,2,,2000000,2,,06,02,21,1,2,02,0610,41,197.88869279
5367453,1,1,1,70,44,1,2,40,1,,2,2,4,,2,2,1,,,,,,,,,,,1,1,160000,98,2,,41,03,95,1,1,02,4111,44,97.075217104
5367454,1,1,1,70,44,1,44,40,3,,2,44,4,,1,2,1,,,,,,,,,,,1,2,,200000,2,,47,54,45,1,2,02,4724,44,63.282312021
5367455,1,2,1,70,44,1,44,48,4,,2,44,4,,2,2,1,,,,,,,,,,,1,2,,750000,2,,14,79,79,1,2,02,1410,44,99.664037734
5367455,1,5,1,70,44,1,44,48,1,,2,44,1,,9,2,1,,,,,,,,,,,1,2,,900000,2,,86,39,39,1,2,02,8610,44,99.664037734
5367456,1,3,1,70,44,1,12,48,1,,1,,,,,,,,.,,,,,,,,.,,,,1000000,,,,58,,1,1,02,.,44,82.450604469
5367457,1,2,1,70,44,1,12,48,4,,2,20,3,,1,2,1,,,,,,,,,,,1,2,,98,2,,97,57,54,1,1,02,9700,44,62.453343437
5367458,1,1,1,70,44,1,4,40,3,,2,24,3,,1,2,4,,,,,,,,,,,1,2,,450000,2,,97,54,54,1,1,02,9700,44,201.57019901
5367460,1,1,1,70,44,1,6,40,4,,2,16,4,,2,2,7,,,,,,,,,,,1,2,,200000,2,,56,53,53,1,1,02,5619,44,192.36498252
5367460,1,3,1,70,44,1,12,48,4,,2,12,4,,1,2,7,,,,,,,,,,,1,2,,600000,2,,41,95,95,1,1,02,4111,44,192.36498252
5367466,1,2,1,70,44,1,4,48,2,,2,104,1,,9,2,4,,,,,,,,,,,1,2,,2700000,2,,61,12,03,1,1,02,6190,44,255.90404035
5367466,1,3,1,70,44,1,104,48,1,,1,,,,,,,,.,,,,,,,,.,,,,900000,,,,33,,1,2,02,.,44,255.90404035
5367467,1,1,1,70,44,1,3,40,1,,2,43,3,,1,2,1,,,,,,,,,,,1,2,,800000,2,,97,55,54,1,1,02,9700,44,97.075217104
5367472,1,5,1,70,44,1,48,48,4,,2,44,4,,1,2,1,,,,,,,,,,,1,2,,750000,2,,47,41,41,1,2,02,4754,44,51.682901653
5367474,1,2,1,70,44,1,20,40,1,,2,24,1,,8,2,2,,,,,,,,,,,1,2,,1000000,2,,42,03,03,1,2,02,4210,44,62.453343437
5367475,1,2,1,70,44,1,78,48,1,,2,52,1,,3,2,2,,,,,,,,,,,1,2,,1200000,2,,47,19,39,1,2,02,4731,44,106.24588197
5367476,1,1,1,70,44,1,20,48,4,,2,2,4,,1,2,1,,,,,,,,,,,1,1,150000,98,2,,47,41,41,1,2,02,4723,44,50.934816414
5367476,1,4,1,70,44,1,20,48,1,,2,104,4,,3,2,1,,,,,,,,,,,1,2,,900000,2,,82,59,21,1,2,02,8219,44,50.934816414
5367477,1,2,1,70,44,1,2,48,1,,2,208,5,,2,2,1,,,,,,,,,,,1,2,,1300000,2,,47,21,41,1,1,02,4723,44,122.32681822
5367478,1,2,1,70,44,1,4,48,1,,2,104,1,,8,2,2,,,,,,,,,,,1,2,,1800000,2,,42,19,19,1,1,02,4210,44,97.075217104
5367485,1,2,1,70,47,1,16,49,1,,2,16,1,,9,2,1,,,,,,,,,,,1,2,,1000000,2,,52,39,39,1,2,02,5229,47,640.90903859
5367488,1,2,1,70,47,1,44,48,1,,2,44,1,,2,2,2,,,,,,,,,,,1,2,,908500,2,,86,07,07,1,2,02,8692,47,97.023112249
5367488,1,3,1,70,47,1,40,48,1,,2,40,1,,3,2,1,,,,,,,,,,,1,2,,908500,2,,47,55,55,1,2,02,4754,47,97.023112249
5367497,1,1,1,70,47,1,12,48,3,,2,24,4,,1,2,1,,,,,,,,,,,1,2,,600000,2,,47,54,45,1,1,02,4771,47,236.01157918
5367498,1,2,1,70,47,1,4,48,1,,2,4,1,,9,2,2,,,,,,,,,,,1,1,400000,908500,2,,94,33,53,1,1,02,9499,47,97.023112249
5367498,1,3,1,70,47,1,259,48,1,,2,259,1,,3,2,1,,,,,,,,,,,1,2,,908500,2,,56,53,53,1,2,02,5611,47,97.023112249
5367517,1,3,1,70,50,1,52,48,1,,1,,,,,,,,.,,,,,,,,.,,,,2500000,,,,13,,1,2,02,.,50,250.30162679
5367520,1,1,1,70,50,1,8,48,1,,2,8,4,,9,2,1,,,,1,,,,,,,,2,,1200000,1,1,88,13,13,1,1,02,8890,50,277.45631955
5367522,1,2,1,70,50,1,20,48,1,,1,,,,,,,,.,,,,,,,,.,,,,1200000,,,,18,,1,2,02,.,50,191.15126464
5367523,1,1,1,70,50,1,50,48,1,,2,50,1,,9,2,7,,,,,,,,,,,1,2,,950000,2,,49,98,98,1,2,02,4921,50,343.46369854
5367530,1,3,1,70,50,1,32,40,1,,2,9,1,,2,2,1,,,,,,,,,,,1,2,,900000,2,,47,45,55,1,2,02,4722,50,250.30162679
5367536,1,2,1,70,50,1,50,48,1,,2,50,1,,3,2,1,,,,,,,,,,,1,2,,1200000,2,,52,39,39,1,2,02,5221,50,251.4704181
5367538,1,1,1,70,50,1,24,48,1,,2,3,1,,2,2,4,,,,,,,,,,,1,1,500000,1000000,2,,47,98,97,1,2,02,4752,50,343.46369854
5367539,1,1,1,70,50,1,2,48,4,,2,2,4,,1,2,4,,,,,,,,,,,1,1,400000,906000,2,,25,83,83,1,1,02,2511,50,318.55501752
5367542,1,2,1,70,50,1,3,48,1,,2,3,4,,9,2,2,,,,,,,,,,,1,1,1500000,1000000,2,,86,45,59,1,1,02,8621,50,419.81416867
5367548,1,2,1,70,50,1,8,48,1,,2,8,1,,3,2,1,,,,,,,,,,,1,2,,900000,2,,47,45,45,1,1,02,4771,50,333.50911376
5367549,1,1,1,70,50,1,45,48,1,,2,45,1,,4,2,1,,,,,1,,,,,,,2,,1200000,3,,47,45,45,1,2,02,4752,50,277.45631955
5367550,1,2,1,70,50,1,30,48,1,,2,35,1,,4,2,1,,,,,,,,,,,1,2,,1500000,2,,69,12,12,1,2,02,6910,50,452.24531168
5367551,1,1,1,70,50,1,5,48,1,,2,5,1,,2,2,1,,,,,1,,,,,,,1,400000,900000,2,,41,95,95,1,1,02,4111,50,230.84848816
5367567,1,3,1,70,52,1,24,48,1,,2,24,2,,9,2,1,,,,,,,,,,,1,2,,3000000,2,,84,12,12,1,2,02,8412,52,107.42347068
5367567,1,4,1,70,52,1,12,48,1,,2,30,1,,4,2,2,,,,,,,,,,,1,2,,1500000,2,,85,19,13,1,1,02,8551,52,107.42347068
5367571,1,2,1,70,52,1,5,48,3,,2,5,1,,9,2,1,,,,,,,,,,,1,2,,877803,2,,10,54,45,1,1,02,1011,52,243.88791678
5367576,1,3,1,70,52,1,104,40,2,,1,,,,,,,,.,,,,,,,,.,,,,908526,,,,32,,1,2,02,.,52,125.88242015
5367600,1,2,1,70,52,1,25,40,1,,2,3,1,,9,2,2,,,,,,,,,,,1,1,1500000,1500000,2,,51,21,21,1,2,02,5111,52,164.67436758
5367605,1,2,1,70,52,1,52,48,3,,1,,,,,,,,.,,,,,,,,.,,,,200000,,,,54,,1,2,02,.,52,107.42347068
5367605,1,3,1,70,52,1,12,25,1,,1,,,,,,,,.,,,,,,,,.,,,,100000,,,,45,,1,1,02,.,52,107.42347068
5367607,1,2,1,70,52,1,9,48,1,,2,9,1,,2,2,6,,,,,,,,,,,1,2,,877803,2,,47,58,45,1,1,02,4752,52,269.0641294
5367612,1,2,1,70,52,1,21,48,1,,2,21,1,,2,2,1,,,,,,,,,,,1,2,,908526,2,,45,53,87,1,2,02,4520,52,184.06728305
5367619,1,2,1,70,52,1,16,40,4,,2,8,4,,1,2,8,,,,,,,,,,,1,2,,800000,2,,47,45,45,1,2,02,4772,52,269.0641294
5367624,1,1,1,70,52,1,6,40,1,,2,12,1,,9,2,8,,,,,,,,,,,1,2,,908526,2,,47,45,45,1,1,02,4719,52,242.70656226
5367627,1,1,1,70,52,1,40,48,3,,2,42,3,,1,2,1,,,,,,,,,,,1,2,,250000,2,,97,54,54,1,2,02,9700,52,164.67436758
5367627,1,2,1,70,52,1,36,16,1,,2,36,4,,1,2,1,,,,,,,,,,,1,2,,200000,2,,85,45,59,1,2,02,8559,52,164.67436758
5367629,1,3,1,70,52,1,26,20,1,,2,84,1,,3,2,8,,,,,,,,,,,1,2,,700000,2,,47,33,45,1,2,02,4771,52,162.236833
5367630,1,1,1,70,52,1,56,48,1,,2,56,4,,9,2,1,,,,,,,,,,,1,2,,900000,2,,84,37,58,1,2,02,8412,52,207.91332442
5367630,1,3,1,70,52,1,156,40,2,,2,156,1,,2,2,4,,,,,,,,,,,1,2,,1500000,2,,69,12,12,1,2,02,6910,52,207.91332442
5367633,1,1,1,70,52,1,52,48,1,,2,52,1,,3,2,1,,,,,,,,,1,YA ES PENSIONADO,,2,,2000000,3,,85,13,13,1,2,02,8559,52,182.3713561
5367637,1,2,1,70,52,1,5,25,4,,2,40,4,,2,2,2,,,,,,,,,,,1,2,,500000,2,,90,17,17,1,1,02,9008,52,152.66336887
5367651,1,1,1,70,52,1,40,40,3,,2,44,3,,1,2,1,,,,,,,,,,,1,1,40000,400000,2,,97,54,59,1,2,02,9700,52,155.54065035
5367666,1,1,1,70,54,1,52,48,1,,2,52,1,,2,2,1,,,,,,,,,,,1,2,,850000,2,,46,97,97,1,2,02,4631,54,299.42077225
5367669,1,1,1,70,54,1,8,48,1,,2,156,1,,9,2,1,,,,,,,,,,,1,2,,908000,2,,86,33,32,1,1,02,8610,54,344.93875996
5367671,1,2,1,70,54,1,2,48,4,,2,2,4,,1,2,1,,,,,,,,,,,1,2,,980000,2,,56,53,53,1,1,02,5611,54,403.01502404
5367678,1,1,1,70,54,1,5,48,4,,2,5,4,,9,2,1,,,,,,,,,,,1,2,,930000,2,,84,18,18,1,1,02,8413,54,447.72738156
5367698,1,2,1,70,63,1,44,48,3,,2,52,4,,1,2,1,,,,,,,,,,,1,2,,908526,2,,86,54,59,1,2,02,8610,63,132.74321
5367703,1,2,1,70,63,1,2,45,2,,2,32,4,,1,2,2,,,,,,,,,,,1,2,,908526,2,,56,58,53,1,1,02,5619,63,154.09104559
5367704,1,1,1,70,63,1,2,55,4,,2,2,4,,1,2,1,,,,,,,,,,,1,1,950000,1000000,2,,25,83,83,1,1,02,2511,63,218.71962005
5367722,1,1,1,70,63,1,4,50,4,,2,358,4,,1,2,1,,,,,,,,,,,1,2,,700000,2,,47,95,45,1,1,02,4781,63,155.59868634
5367725,1,1,1,70,63,1,48,48,4,,2,48,4,,1,2,1,,,,,,,,,,,1,2,,908000,2,,88,54,54,1,2,02,8890,63,112.99843934
