PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FT;P3044S2;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6420S2;P6424S1;P6424S2;P6424S3;P6424S5;P6426;P6430;P6430S1;P3045S1;P3045S2;P3045S3;P3046;P3363;P9440;P6500;P3364;P3364S1;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P3047;P3048;P3049;P6765;P6765S1;P3051;P3051S1;P3052;P3052S1;P3053;P3365;P3365S1;P3054;P3054S1;P3055;P3055S1;P3056;P3057;P6760;P3058S1;P3058S2;P3058S3;P3058S4;P3058S5;P3059;P3061;P3062S1;P3062S2;P3062S3;P3062S4;P3062S5;P3062S6;P3062S7;P3062S8;P3062S9;P3063;P3063S1;P3064;P3064S1;P3065;P3066;P3067;P3067S1;P3067S2;P6775;P3068;P6750;P3073;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3366;P3069;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P1880S1;P7040;P7045;P7050;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1882;P7240;OCI;INGLABO;RAMA2D_R4;RAMA4D_R4;OFICIO_C8
20230521;05;2023;7424981;1;2;1;60;;1;1484.6701541;68;1;4711;2;;;;;;;;;;;;36;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;7;;;;;;;;;;;;;1;350000;1;0;30000;0;35000;0;;;;;;;;;;;;;;;;;;2;;;2;;250000;1;;3;;10;2;12;40;;;40;;;;1;1;;2;;2;;;;2;2;1;0;120;1;;11;;2;;;;;;2;;;;2;;;;;;;;;;;;2;2;1;2;2;2;14;;2;1;250000;47;4711;5223
20230521;05;2023;7424982;1;1;1;60;;1;2175.4513743;68;1;4111;1;1;;;1;;1;;2;2;2;2;16;1;;2;2;2;2;1;2;900000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;;3;9;;2;;2;;;;2;2;1;1;36;1;;3;;2;;;;;;2;;;;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;2;2;1;3;30;2;1;900000;41;4111;9313
20230521;05;2023;7424982;1;2;1;60;;1;2175.4513743;68;1;4719;1;1;;;1;;1;;2;2;2;2;14;1;;1;1;1;1;1;2;400000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;;2;7;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;3;15;2;1;400000;47;4719;5223
20230521;05;2023;7424983;1;1;1;60;;2;1488.5663822;68;1;123;2;;;;;;;;;;;;240;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;1;1;7;;;;;;;;;;;;;2;;;;;;;;5400000;1;0;0;0;0;100000;0;0;0;0;1;35000;2;;;;2;;;2;;360000;1;5400000;3;;1;2;12;40;;;40;;;;1;8;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;3;10;2;1;360000;01;0123;9211
20230521;05;2023;7424983;1;2;1;60;;2;1488.5663822;68;1;1392;2;;;;;;;;;;;;125;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;0;1;2;1;1;1;7;;;;;;;;;;;;;1;420000;1;0;290000;0;0;0;;;;;;;;;;;;;;;;;;2;;;2;;130000;1;1560000;3;;1;2;12;48;;;48;;;;2;1;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;14;;2;1;130000;13;1392;7332
20230521;05;2023;7424983;1;3;1;60;;2;1488.5663822;68;1;123;1;1;;;1;;1;;2;2;2;2;13;7;;2;2;2;2;1;2;860000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;;3;8;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;2;2;2;2;2;1;3;20;2;1;860000;01;0123;9211
20230521;05;2023;7424983;1;4;1;60;;2;1488.5663822;68;1;1392;2;;;;;;;;;;;;7;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;15;2;;15;;;;2;1;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;2;14;;2;1;;13;1392;7332
20230521;05;2023;7424984;1;1;1;60;;2;1450.0362958;68;1;123;1;1;;;1;;1;;2;2;2;2;12;7;;9;9;9;9;1;2;800000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;50;;;50;;;;3;8;;2;;2;;;;2;2;1;0;12;7;;13;MUY LEJOS;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;2;1;11;10;8;1;800000;01;0123;9211
20230521;05;2023;7424985;1;1;1;60;;2;877.73938809;68;1;123;2;;;;;;;;;;;;552;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;4;3;0;1;3;1;1;1;7;;;;;;;;;;;;;2;;;;;;;;22000000;1;3200000;0;300000;0;6000000;0;0;0;0;1;350000;1;350000;;;2;;;2;;1000000;1;12000000;3;;3;2;12;48;;;48;;;;3;8;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;3;15;2;1;1000000;01;0123;6114
20230521;05;2023;7424985;1;2;1;60;;2;877.73938809;68;1;1311;2;;;;;;;;;;;;250;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;1;1;7;;;;;;;;;;;;;1;5440000;1;0;244000;0;0;0;;;;;;;;;;;;;;;;;;2;;;2;;300000;1;3600000;3;;3;2;12;48;;;48;;;;1;1;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;14;;2;1;300000;13;1311;7341
