DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P388;P6440;P6450;P6460;P6460S1;P6400;P6410;P6410S1;P6422;P6424S1;P6424S2;P6424S3;P6426;P6430S1;P6480;P6480S1;P9440;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P6765;P6765S1;P6772;P6772S1;P6773S1;P6775;P6750;P6760;P550;P6780;P6780S1;P6790;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P1879;P1805;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P6870;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6980;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S7A1;P6980S8;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P7040;P390;P7045;P7050;P7050S1;P7070;P7075;P7077;P1880;P1881;P1882;P3148;P7090;P7100;P7110;P7120;P7130;P7140;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P7240;P7240S1;OFICIO;RAMA2D_R4;OCI;MES;P6430;RAMA4D_R4;INGLABO;DPTO;fex_c_2011;RAMA4DP8_R4
5494096;1;1;1;60; ;1;76;2; ; ; ; ; ; ; ; ; ; ;180; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;2; ;1; ;3; ;11;2; ; ; ; ;3;3;2;49; ;                                                                                                                                                                                                                                                         .;49; ; ;1;6; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;3;10; ;2; ; ; ;1;1;2;1;2;2;2;2;2;2;2; ;2;1;2;2;2;2;2;2;3; ;45;47;1;07;4;4781; ;76;2976,40435952893; 
5494099;1;1;1;60; ;1;76;1;2;2;12;1; ; ;2;2;2;2;28; ;2; ;2;900000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;104000;1;2; ; ;2; ; ;2; ; ;2; ; ;1;450000;1;450000;2; ;2; ;2; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .;11; ; ; ; ; ; ; ; ;48; ;                                                                                                                                                                                                                                                         .;48; ; ;4;7; ;1; ;1;1;1;2;1;1; ; ; ; ; ; ; ; ;1;2;1;0;38;4; ;2; ; ; ; ; ; ; ;13;6;20; ;2; ; ; ;1;1;1;1;2;2;2;2;1;1;2; ;1;1;2;2;1;2;2;2;8; ;45;47;1;07;1;4723;900000;76;2834,9357818459; 
5494104;1;1;1;60; ;1;76;1;1; ; ;1; ; ;1;2;2;1;300; ;1; ;2;2000000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;1;900000;2; ;2; ;2; ;2; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .;12; ; ; ; ; ; ; ; ;48; ;                                                                                                                                                                                                                                                         .;48; ; ;3;7; ;1; ;3; ; ; ; ;                                                                                                                                                                                                                                                         .; ; ; ; ; ; ; ; ;1;9;2; ; ; ; ;2; ; ; ; ; ; ; ; ;3;3; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;10;DE LA PENSION;45;46;1;07;1;4631;2000000;76;2097,78044322857; 
5494111;1;1;1;60; ;1;76;2; ; ; ; ; ; ; ; ; ; ;160; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;2;200000;1; ;3; ;12;2; ; ; ; ;3;1;2;40; ;                                                                                                                                                                                                                                                         .;10;6; ;1;5; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;6;20;2;1;20;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;2;2;2;1;3; ;57;96;1;07;4;9602;200000;76;2039,04474757612; 
5494112;1;1;1;60; ;1;76;2; ; ; ; ; ; ; ; ; ; ;240; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;2;1400000;1; ;3; ;12;2; ; ; ; ;3;3;2;30;2; ;30; ; ;1;1; ;1; ;1;2;2;25;1;1; ; ; ; ; ; ; ; ;2;2;1;1;60;2; ;2; ; ; ; ; ; ; ;1;14; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;2; ;33;69;1;07;4;6920;1400000;76;2097,78044322857; 
5494113;1;1;1;60; ;1;76;2; ; ; ; ; ; ; ; ; ; ;300; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;1;2; ;2;2000000;1; ;3; ;12;1;3;3;0;0;3;3;2;84; ;                                                                                                                                                                                                                                                         .;84; ; ;3;7; ;2; ;2; ; ; ;1; ; ;1; ; ; ; ; ; ;2;2;1;0;60;1; ;2; ; ; ; ; ; ; ;10;3;5; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;2; ;41;46;1;07;5;4631;2000000;76;2352,6306831283; 
5494113;1;3;1;60; ;1;76;1;1; ; ;1; ; ;1;2;2;2;120; ;1; ;2;800000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .;12; ; ; ; ; ; ; ; ;84; ;                                                                                                                                                                                                                                                         .;84; ; ;3;7; ;2; ;2; ; ; ;1; ; ;1; ; ; ; ; ; ;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;3;3; ;2; ; ; ;1;1;1;1;1;2;2;2;2;1;2; ;2;1;1;2;2;2;1;1;2; ;45;46;1;07;1;4631;800000;76;2352,6306831283; 
5494113;1;4;1;60; ;1;76;1;1; ; ;1; ; ;1;2;2;2;72; ;1; ;2;800000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .;12; ; ; ; ; ; ; ; ;54; ;                                                                                                                                                                                                                                                         .;54; ; ;3;7; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;3;5; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2;2;1;1;8; ;45;46;1;07;1;4631;800000;76;2352,6306831283; 
5494114;1;1;1;60; ;1;76;1;2;1; ;1; ; ;1;1;1;1;3; ;2; ;1;4059920;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .;3; ; ; ; ; ; ; ; ;48; ;                                                                                                                                                                                                                                                         .;48; ; ;9;1; ;1; ;1;1;1;3;1;1; ;1; ; ; ; ; ; ;1;1;1;6;24;1; ;2; ; ; ; ; ; ; ;8;14; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;2; ;08;62;1;07;1;6202;4059920;76;3333,20263285362; 
5494116;1;2;1;60; ;1;76;2; ; ; ; ; ; ; ; ; ; ;60; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;2;600000;1; ;3; ;10;2; ; ; ; ;3;1;2;24;1; ;24; ; ;1;2; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;2;36;1; ;2; ; ; ; ; ; ; ;1;6;15; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;1;1;8; ;13;85;1;07;4;8559;600000;76;1830,72609010458; 
5494117;1;1;1;60; ;1;76;1;1; ; ;1; ; ;1;2;2;2;36; ;1; ;2;300000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;150000;2;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .;12; ; ; ; ; ; ; ; ;45; ;                                                                                                                                                                                                                                                         .;45; ; ;1;2; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;36;4; ;2; ; ; ; ; ; ; ;3;2;25; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;2;1;1;3; ;54;97;1;07;3;9700;300000;76;3179,96489793269; 
5494117;1;2;1;60; ;1;76;2; ; ; ; ; ; ; ; ; ; ;72; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;2;300000;1; ;3; ;12;2; ; ; ; ;3;1;2;48; ;                                                                                                                                                                                                                                                         .;48; ; ;1;2; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;12;120;4; ;2; ; ; ; ; ; ; ;3;3;25; ;2; ; ; ;1;1;2;1;2;2;2;2;1;2;2; ;2;2;2;2;1;2;2;1;3; ;95;41;1;07;4;4111;300000;76;3179,96489793269; 
5494122;1;1;1;60; ;1;76;1;2;2;12;1; ; ;1;1;1;1;240; ;1; ;2;1014000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;102000;1;2; ; ;2; ; ;2; ; ;2; ; ;1;500000;1;500000;2; ;2; ;2; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .;12; ; ; ; ; ; ; ; ;48; ;                                                                                                                                                                                                                                                         .;0;1; ;9;7; ;1; ;1;1;1;20;1;1; ; ; ; ; ; ; ; ;1;1;1;12;24;4; ;2; ; ; ; ; ; ; ;3;2;35;2;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;2;1;1;3; ;97;52;1;07;1;5222;1014000;76;1678,41648134203; 
5494122;1;2;1;60; ;1;76;1;1; ; ;1; ; ;1;2;2;2;48; ;1; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .;12; ; ; ; ; ; ; ; ;50; ;                                                                                                                                                                                                                                                         .;50; ; ;6;7; ;3; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;12;6;4; ;2; ; ; ; ; ; ; ;3;2;30; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2;2;1;1;3; ;53;56;1;07;1;5611; ;76;1678,41648134203; 
5494123;1;1;1;60; ;1;76;2; ; ; ; ; ; ; ; ; ; ;92; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;2;100000;1; ;3; ;12;2; ; ; ; ;3;1;2;30;1; ;30; ; ;1;5; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;12;56;3; ;2; ; ; ; ; ; ; ;3;3;5; ;2; ; ; ;1;1;1;1;2;2;2;2;2;2;2; ;1;1;2;2;1;2;2;1;8; ;45;92;1;07;4;9200;100000;76;1945,47083446602; 
5494124;1;1;1;60; ;1;76;1;1; ; ;1; ; ;1;2;2;2;24; ;1; ;2;720000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .;12; ; ; ; ; ; ; ; ;48; ;                                                                                                                                                                                                                                                         .;48; ; ;3;7; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;5;24;1; ;2; ; ; ; ; ; ; ;5;6;20; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;2;1;8; ;54;55;1;07;1;5511;720000;76;2219,45727571208; 
5494126;1;1;1;60; ;1;76;2; ; ; ; ; ; ; ; ; ; ;146; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;2;1000000;1; ;3; ;10;2; ; ; ; ;3;3;2;70; ;                                                                                                                                                                                                                                                         .;70; ; ;1;4; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;3;10; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;8; ;98;49;1;07;4;4921;1000000;76;3333,20263285362; 
5494143;1;2;1;60;05;1;5;1;2;1; ;1; ; ;1;1;2;1;48; ;1; ;2;908526;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;106000;1;1;37000;2;2; ; ;2; ; ;2; ; ;1;908526;2; ;2; ;2; ;2; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .;12; ; ; ; ; ; ; ; ;54; ;                                                                                                                                                                                                                                                         .;54; ; ;3;7; ;1; ;1;1;1;4;1;1; ; ; ; ; ; ; ; ;1;1;1;99;48;1; ;2; ; ; ; ; ; ; ;8;4;30; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;8; ;45;47;1;07;1;4774;908526;05;701,341041920786; 
5494143;1;3;1;60;05;1;5;1;2;1; ;1; ; ;1;1;2;1;8; ;2; ;2;1058000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;10000;2;2; ; ;2; ; ;2; ; ;2; ; ;1;908526;2; ;2; ;2; ;2; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .;8; ; ; ; ; ; ; ; ;54; ;                                                                                                                                                                                                                                                         .;54; ; ;4;7; ;1; ;1;1;1;20;1;1; ; ; ; ; ; ; ; ;1;1;1;6;18;1; ;2; ; ; ; ; ; ; ;3;4;30; ;1;20;2;1;1;1;1;1;2;2;2;2;2;2;2; ;2;2;1;1;1;2;1;1;3; ;45;47;1;07;1;4723;1058000;05;701,341041920786; 
5494143;1;5;1;60;05;1;5;1;2;2;98;1; ; ;2;1;2;1;72; ;1; ;2;450000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;106000;1;2; ; ;2; ; ;2; ; ;2; ; ;1;450000;2; ;2; ;2; ;2; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .;12; ; ; ; ; ; ; ; ;40; ;                                                                                                                                                                                                                                                         .;0;3; ;6;7; ;1; ;1;1;1;11;1;1; ; ; ; ; ; ; ; ;1;1;1;24;84;1; ;2; ; ; ; ; ; ; ;9;4;30; ;1;4;1;1;1;1;1;1;2;2;2;2;2;2;2; ;1;1;1;2;1;2;1;1;5; ;13;85;1;07;1;8530;450000;05;701,341041920786; 
5494144;1;2;1;60;05;1;5;1;2;1; ;1; ; ;1;1;2;1;60; ;3; ;1;1200000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;106454;2;2; ; ;2; ; ;2; ; ;2; ; ;1;1200000;2; ;2; ;2; ;2; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .;12; ; ; ; ; ; ; ; ;48; ;                                                                                                                                                                                                                                                         .;0;3; ;9;7; ;1; ;1;1;1;5;1;1; ; ; ; ; ; ; ; ;1;1;1;6;6;1; ;2; ; ; ; ; ; ; ;1;11;10; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;8; ;38;82;1;07;1;8220;1200000;05;910,662789596985; 
5494144;1;3;1;60;05;1;5;1;2;1; ;1; ; ;2;1;2;1;36; ;4; ;1;1200000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;106454;2;2; ; ;2; ; ;2; ; ;2; ; ;1;1200000;2; ;2; ;2; ;2; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .;12; ; ; ; ; ; ; ; ;48; ;                                                                                                                                                                                                                                                         .;48; ; ;9;7; ;1; ;1;1;1;3;1;1; ; ; ; ; ; ; ; ;1;1;1;0;36;1; ;2; ; ; ; ; ; ; ;2;4;50; ;2; ; ; ;1;1;1;1;2;2;2;2;2;2;2; ;2;1;2;2;1;2;1;1;8; ;39;82;1;07;1;8220;1200000;05;910,662789596985; 
5494146;1;3;1;60;05;1;5;1;2;1; ;1; ; ;1;1;2;1;18; ;1; ;2;1100000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;106454;2;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .;12; ; ; ; ; ; ; ; ;60; ;                                                                                                                                                                                                                                                         .;60; ; ;3;7; ;1; ;1;1;1;10;1;1; ; ; ; ; ; ; ; ;1;1;1;48;20;4; ;2; ; ; ; ; ; ; ;2;8;20; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;32;47;1;07;1;4759;1100000;05;925,642356162365; 
5494146;1;4;1;60;05;1;5;1;2;1; ;1; ; ;1;1;2;1;48; ;1; ;2;908526;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;106454;2;2; ; ;2; ; ;2; ; ;2; ; ;1;910000;2; ;2; ;2; ;2; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .;12; ; ; ; ; ; ; ; ;50; ;                                                                                                                                                                                                                                                         .;50; ; ;3;7; ;1; ;1;2;1;4;1;1; ; ; ; ; ; ; ; ;1;1;1;0;120;4; ;2; ; ; ; ; ; ; ;2;11;15; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;45;47;1;07;1;4759;908526;05;925,642356162365; 
5494148;1;1;1;60;05;1;5;2; ; ; ; ; ; ; ; ; ; ;60; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;1000000;1; ;3; ;12;2; ; ; ; ;3;5;1;72; ;                                                                                                                                                                                                                                                         .;72; ; ;1;4; ;1; ;3; ; ; ; ;                                                                                                                                                                                                                                                         .; ; ; ; ; ; ; ; ;2;2;1;48;168;2; ;2; ; ; ; ; ; ; ;5;3;5; ;2; ; ; ;1;1;2;1;1;1;2;2;1;2;2; ;2;1;2;1;2;2;1;1;10;POR PENSION;98;49;1;07;4;4921;1000000;05;1083,59232450441; 
5494148;1;3;1;60;05;1;5;1;2;2;3;1; ; ;2;1;2;1;3; ;1; ;2;908000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;106000;2;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .;3; ; ; ; ; ; ; ; ;48; ;                                                                                                                                                                                                                                                         .;48; ; ;6;5; ;1; ;1;1;1;9;1;1; ; ; ; ; ; ; ; ;1;1;1;9;12;1; ;2; ; ; ; ; ; ; ;1;4;75; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;37;69;1;07;1;6910;908000;05;1083,59232450441; 
5494148;1;4;1;60;05;1;5;1;1; ; ;1; ; ;1;2;2;2;0; ;1; ;2;200000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .;1; ; ; ; ; ; ; ; ;24;1; ;24; ; ;3;7; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;24;96;1; ;2; ; ; ; ; ; ; ;1;3;15; ;1;24;2;1;1;1;1;1;2;1;2;2;1;2;2; ;2;1;1;1;2;2;1;1;3; ;53;56;1;07;1;5630;200000;05;1083,59232450441; 
5494149;1;1;1;60;05;1;5;2; ; ; ; ; ; ; ; ; ; ;120; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;2;250000;1; ;3; ;12;2; ; ; ; ;3;1;1;48; ;                                                                                                                                                                                                                                                         .;24;6; ;1;7; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;2;2;4; ;2; ; ; ; ; ; ; ;3;1;120;1;1;24;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;2;2;2;1;3; ;83;25;1;07;4;2511;250000;05;1647,18850776525; 
