DIRECTORIO;SECUENCIA_P;ORDEN;P6016;P3271;P6030S1;P6030S3;P6040;P6050;P6083;P6083S1;P6081;P6081S1;P2057;P2059;P2061;P6080;P6080S1;P6080S1A1;P6070;P6071;P6071S1;P3147S1;P3147S2;P3147S3;P3147S4;P3147S5;P3147S6;P3147S7;P3147S8;P3147S9;P3147S10;P3147S11;P3147S10A1;P6090;P6100;P6110;P6120;P1906S1;P1906S2;P1906S3;P1906S4;P1906S5;P1906S6;P1906S7;P1906S8;P6160;P6170;P3041;P3042;P3042S1;P3042S2;P3043;P3043S1;HOGAR;CLASE;P3038;P3039;AREA;LGB_Numerica;LGB_sectores;Trans_numerica;LGBT_Numerica;Discapacidad;Dificultad;Campesina;POB_MAY18;MES;PERIODO;DPTO;pt;FEX_C18;PER;REGIS
5061807;1;1;1;2;7;1973;48;1;2;;2;;2;2;2;1;660_01;;4;;;;1;1;1;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;1;1;1;2;;0;;0;0;0;0;0;1;02;20220208;91;1;69.528682315;2022;10
5061807;1;2;2;1;1;1991;31;6;2;;2;;2;2;2;1;660_01;;6;;;;1;1;1;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;1;1;2;1;;0;;0;0;0;0;0;1;02;20220208;91;1;69.528682315;2022;10
5061808;1;1;1;2;9;1958;63;1;2;;2;;2;2;2;6;;;2;1;2;1;1;1;;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;1;1;1;2;;0;;0;0;0;0;0;1;02;20220208;91;1;108.0748039;2022;10
5061808;1;2;2;1;;;65;2;2;;2;;2;2;2;6;;;2;1;1;1;1;;1;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;1;1;2;1;;0;;0;0;0;0;0;1;02;20220208;91;1;108.0748039;2022;10
5061808;1;3;3;1;;;98;3;1;1;2;;2;2;2;6;;;6;;;1;1;1;1;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;4;;;;1;1;2;1;;0;;0;0;0;0;0;1;02;20220208;91;1;108.0748039;2022;10
5061808;1;4;4;1;10;1999;22;3;1;1;2;;2;2;2;6;;;6;;;1;1;1;;;;;;;;;;1;3;;;4;4;4;4;4;4;3;4;1;2;;4;4;;;;1;1;2;1;;0;;0;0;0;1;0;1;02;20220208;91;1;108.0748039;2022;10
5061808;1;5;5;1;9;2004;17;3;1;1;2;;2;2;2;6;;;4;;;1;1;1;;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;5;1;;1;;1;1;;;;;;;;0;0;0;;02;20220208;91;1;108.0748039;2022;10
5061808;1;6;6;2;9;2007;14;3;1;1;2;;2;2;2;6;;;6;;;;;;;;;;1;;;;;1;3;;;4;4;4;3;4;4;4;4;1;1;1;4;3;;;;1;1;;;;;;;;0;1;0;;02;20220208;91;1;108.0748039;2022;10
5061809;1;1;1;1;1;2001;21;1;2;;2;;2;2;2;1;660_01;;2;1;2;;1;1;1;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;1;2;1;;0;;0;0;0;0;0;1;02;20220208;91;1;35.452044157;2022;10
5061809;1;2;2;2;7;2004;17;2;2;;2;;2;2;2;1;660_01;;2;1;1;;1;1;;;;;;;;;;2;;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;1;;;;;;;;0;0;0;;02;20220208;91;1;35.452044157;2022;10
5061809;1;3;3;2;1;1957;65;9;3;;3;;2;2;2;6;;;5;;;;1;1;1;;;;;;;;;1;3;;;1;3;3;3;3;3;3;3;2;2;;1;0;;;;1;1;1;2;;0;;0;0;1;1;0;1;02;20220208;91;1;35.452044157;2022;10
