DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P388;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6424S1;P6424S2;P6424S3;P6426;P6430S1;P6480;P6480S1;P9440;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P6765;P6765S1;P6772;P6772S1;P6773S1;P6775;P6750;P6760;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3148;P6870;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S7A1;P6980S8;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P7040;P390;P7045;P7050;P7050S1;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1882;P7240;P7240S1;P6980;P7140;OFICIO;RAMA2D_R4;OCI;MES;P6430;RAMA4D_R4;INGLABO;DPTO;fex_c_2011;RAMA4DP8_R4
6,021,927;1;1;1;60;;1;27;1;2;1;;1;;1;1;1;1;28;;1;;2;2,100,000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;1;1,050,000;1;2,100,000;1;1,050,000;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;40;;.;40;;;;9;7;;1;;1;3;1;24;1;;;;;;;;;1;2;1;0;100;2;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;4;1;;1;;13;85;1;11;2;8521;2100000;27;622.63772197;
6,021,928;1;1;1;60;;1;27;2;;;;;;;;;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;7;;1;1;2,021;2;200,000;1;;3;;1;2;12;54;;.;54;;;;1;1;;4;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;2;1;14;;3;;1;;41;47;1;11;4;4755;200000;27;279.28156192;
6,021,929;1;1;1;60;;1;27;2;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;200,000;1;;3;;1;1;12;52;;.;52;;;;1;6;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;1;1;1;2;2;2;1;2;2;2;;2;1;2;2;2;2;2;1;3;30;3;;1;1;41;47;1;11;4;4721;200000;27;541.69652352;
6,021,930;1;2;1;60;;1;27;1;2;1;;1;;1;1;1;1;36;;5;;1;2,000,000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;1;1,000,000;1;2,000,000;1;1,000,000;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;40;;.;40;;;;9;7;;1;;1;3;1;10;1;;;;;;;;;1;2;1;0;56;2;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;9;15;1;;1;;13;85;1;11;2;8530;2000000;27;672.69390607;
6,021,931;1;1;1;60;;1;27;1;2;2;6;1;;1;1;1;2;16;;1;;2;1,400,000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;1;700,000;1;700,000;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;42;;.;42;;;;6;6;;1;;1;2;1;1;1;;;;;;;;;1;2;1;0;52;4;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;11;10;3;;1;;85;35;1;11;1;3514;1400000;27;1117.1262477;
6,021,937;1;1;1;60;;1;27;1;1;;;1;;1;2;2;2;48;;1;;2;550,000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;45;;.;45;;;;2;7;;2;;2;;;;;;;;;;;;1;2;2;1;0;24;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;2;2;1;1;3;5;3;;1;;45;47;1;11;1;4711;550000;27;435.1128492;
6,021,940;1;1;1;60;;1;27;1;1;;;1;;1;2;2;2;36;;1;;2;600,000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;32;2;;32;;;;3;7;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;2;2;1;1;3;9;3;;1;;53;56;1;11;1;5611;600000;27;591.94096787;
6,021,944;1;1;1;60;;1;27;1;1;;;1;;1;2;2;2;110;;1;;2;500,000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;50;;.;50;;;;2;8;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;9;30;3;;1;;64;03;1;11;1;0311;500000;27;692.17835154;
6,021,946;1;1;1;60;;1;27;1;1;;;1;;1;2;2;2;60;;1;;2;550,000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;60;;.;60;;;;3;8;;2;;2;;;;;;;;;;;;1;2;2;1;0;18;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;9;60;3;;1;;64;03;1;11;1;0311;550000;27;658.80050752;
6,021,956;1;1;1;60;;1;27;1;1;;;1;;1;2;2;2;36;;1;;2;650,000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;40;;.;40;;;;3;7;;2;;2;;;;;;;;;;;;1;2;2;1;6;48;4;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;10;9;;1;;45;47;1;11;1;4711;650000;27;958.1428904;
